Name,Version,Description,Justification
Python,"3.10 - 3.12 (3.12 recommended; installer uses Python.Python.3.12)","General-purpose programming language and runtime interpreter.","Runs the entire backend server (FastAPI app, database layer, and ML jobs). Nothing on the server side runs without it."
Node.js,"20 LTS or newer (installer uses OpenJS.NodeJS.LTS)","JavaScript runtime built on Chrome's V8 engine, including the npm package manager.","Needed only once at install time to compile the React web frontend into static files. Not required to run the server afterwards."
npm,"Bundled with Node.js","Default package manager for Node.js; downloads and installs JavaScript packages.","Used during the build step to download the frontend's JavaScript/TypeScript dependencies and run 'npm run build'."
PostgreSQL,"15 or newer","Open-source relational database server.","Production database storing users, documents, annotations (entities/relations), and ML job records. Optional - SQLite (bundled with Python) is used by default for single-machine/dev setups."
pip,"Bundled with Python (auto-upgraded during install)","Standard package installer for Python.","Installs all of the Python backend and ML libraries listed below from the Python Package Index (PyPI)."
fastapi,">=0.110","Modern Python web framework for building REST APIs.","Implements the entire backend HTTP API (authentication, document/annotation endpoints, ML job triggers)."
uvicorn[standard],">=0.29","ASGI web server for running async Python web applications.","The actual server process that hosts the FastAPI app (start_server runs 'uvicorn app.main:app')."
sqlalchemy,">=2.0","SQL toolkit and Object-Relational Mapper (ORM) for Python.","Defines the database models and runs all queries, working against either PostgreSQL or SQLite."
psycopg2-binary,">=2.9","PostgreSQL database adapter (driver) for Python.","Lets SQLAlchemy connect to PostgreSQL when a PostgreSQL DATABASE_URL is configured."
pydantic,">=2.6","Data validation and settings-management library using Python type hints.","Validates incoming API request/response payloads and loads typed application configuration."
python-dotenv,">=1.0","Reads key-value pairs from a .env file into environment variables.","Loads the backend/.env configuration file (database URL, secret key, model choices) at startup."
PyJWT,">=2.8","Library for encoding and decoding JSON Web Tokens (JWT).","Issues and verifies the JWT access tokens used to authenticate logged-in users."
bcrypt,">=4.1","Password-hashing library implementing the bcrypt algorithm.","Securely hashes and verifies user account passwords."
python-multipart,">=0.0.9","Streaming parser for multipart/form-data HTTP requests.","Required by FastAPI to handle form submissions and file/document uploads."
spacy,">=3.7,<3.8 on Python 3.9; >=3.7 on Python 3.10+","Industrial-strength Natural Language Processing (NLP) library.","Trains and runs the Named Entity Recognition (NER) models used by the Auto-Annotate feature. (Optional - only installed if ML features are enabled.)"
torch,">=2.1 (optional CUDA build cu121 for NVIDIA GPUs)","PyTorch - deep-learning framework for tensor computation and neural networks.","Backend engine for training the relation-extraction transformer model; auto-detects NVIDIA CUDA, Apple MPS, then CPU. (Optional ML dependency.)"
transformers,">=4.38","Hugging Face library for pretrained transformer (BERT-family) models.","Loads and fine-tunes the DistilBERT/BERT model used for Relation Extraction (RE). (Optional ML dependency.)"
numpy,">=1.24","Fundamental package for numerical array computing in Python.","Underpins the numerical/array operations used across the ML and embedding pipeline. (Optional ML dependency.)"
sentence-transformers,">=2.6","Library producing dense sentence/text embeddings from BERT-family bi-encoders.","Generates sentence embeddings for the embedding-based relation rules (semantic similarity matching). (Optional ML dependency.)"
react,"^18.3.1","JavaScript library for building user interfaces.","Core UI framework for the annotation web application. (Build-time; compiled into static files.)"
react-dom,"^18.3.1","React package for rendering components to the web DOM.","Renders the React UI in the browser. (Build-time.)"
react-router-dom,"^6.26.0","Client-side routing library for React.","Handles navigation between the application's pages/views without full page reloads. (Build-time.)"
typescript,"^5.5.4","Typed superset of JavaScript that compiles to plain JavaScript.","Language the frontend source is written in; type-checks and compiles the code during build. (Build-time dev dependency.)"
vite,"^5.4.0","Frontend build tool and development server.","Bundles the frontend into the optimized static files the server ships ('vite build'). (Build-time dev dependency.)"
@vitejs/plugin-react,"^4.3.1","Official Vite plugin adding React (JSX/Fast Refresh) support.","Enables Vite to compile React/JSX code. (Build-time dev dependency.)"
@types/react,"^18.3.3","TypeScript type definitions for React.","Provides type information so the TypeScript compiler understands React APIs. (Build-time dev dependency.)"
@types/react-dom,"^18.3.0","TypeScript type definitions for React DOM.","Provides type information for react-dom APIs during compilation. (Build-time dev dependency.)"
distilbert-base-uncased,"Hugging Face Hub (default RE_BASE_MODEL; configurable)","Pretrained DistilBERT language model (~265 MB).","Fine-tuned in-app to perform Relation Extraction between annotated entities. Downloaded automatically from the Hugging Face Hub when the relation-extraction trainer first runs. (Optional - ML features only.)"
sentence-transformers/all-MiniLM-L6-v2,"Hugging Face Hub (default EMBEDDING_MODEL; configurable)","Pretrained MiniLM sentence-embedding model (~90 MB).","Produces the sentence embeddings used by embedding-based relation rules. Downloaded automatically from the Hugging Face Hub on first use. (Optional - ML features only.)"
